Country me,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Central African Republic,CAF,2.783032766,2.829325322,2.797564751,2.713777395,2.625917722,2.554977889,2.453059553,2.328749895,2.189510433,2.040088412,1.91839065,1.848712433,1.849439418,1.946721438,2.054589059,2.153681293,2.242148634,2.317603409,2.381286162,2.443913812,2.50870471,2.569107243
Chad,TCD,4.186589065,4.010854078,3.397628299,3.472250088,3.529164209,3.570928511,3.641121048,3.729300267,3.822083873,3.919314352,3.98033455,3.981388841,3.897214687,3.766275641,3.623102006,3.512871256,3.438004329,3.424974225,3.520274961,3.619670449,3.700764424,3.770122108
Channel Islands,CHI,-0.110778285,-0.201523951,-0.204202095,-0.140915519,0.140915519,0.656497129,0.708242143,0.745522526,0.755456255,0.817676827,0.939076329,0.947526595,0.947144822,0.936150012,0.923290091,0.906564199,0.882007119,0.851920941,0.810426463,0.765871375,0.760050339,0.758261817
Chile,CHL,1.780452586,1.945124742,1.896764228,1.843449508,1.786418948,1.732155738,1.681653228,1.640635323,1.603017732,1.568204405,1.534116975,1.497004568,1.46647748,1.439435425,1.41236884,1.38756562,1.367014891,1.348660008,1.33223887,1.318737048,1.302522513,1.28410315
Chi,CHN,4.42511729,4.301547743,4.245840597,4.159637994,4.086051744,4.008285508,3.908078566,3.77008873,3.649252711,4.059565758,4.198001148,4.078403526,3.97537213,3.882472976,3.674728093,3.511255552,3.433957689,3.338102468,3.255365494,3.178740299,3.056129629,2.928698509
Colombia,COL,2.567517733,2.505819141,2.262514953,2.116083594,2.055454578,1.997536956,1.947900911,1.913484556,1.885904954,1.859652147,1.831471443,1.797962119,1.758093469,1.710089849,1.662986872,1.617700566,1.57222645,1.526954044,1.482101435,1.436995963,1.3911477,1.348936606
Comoros,COM,3.169046408,2.737263466,2.699136406,2.645878188,2.601364759,2.555001195,2.500216611,2.449217582,2.392612899,2.33670206,2.288932374,2.255314699,2.250684658,2.307327616,2.360130179,2.415796735,2.467292392,2.518402266,2.570408457,2.614425479,2.665562987,2.695806038
"Congo, Dem. Rep.",COD,5.384179823,5.359263117,5.097811017,4.698825937,4.264387211,3.928058374,3.761225459,3.803417746,3.98528055,4.188048417,4.338784683,4.447201607,4.493325139,4.498769335,4.503681326,4.515521113,4.52057898,4.506309089,4.486464549,4.463178347,4.433716882,4.407079606
"Congo, Rep.",COG,3.372153221,3.360884835,3.370743748,3.397446626,3.445404716,3.560715816,3.536340609,3.440467784,3.311177683,3.153768117,3.042661796,3.034584363,3.16085415,3.366073776,3.596531277,3.767826596,3.824249764,3.74390122,3.577975375,3.392195937,3.249412532,3.161952461
Costa Rica,CRI,4.322694339,4.274678734,4.21390473,4.135884932,4.061570092,3.972324622,3.851279129,3.682261296,3.501181885,4.075042839,3.84841065,3.657415908,3.521715722,3.416382412,3.329589887,3.23404179,3.131288187,3.012533049,2.893976484,2.773176385,2.622846153,2.481878439
Cote d'Ivoire,CIV,4.410044141,4.337759724,4.228427092,4.092059223,3.972465274,3.849371518,3.682378772,3.845850387,3.843936978,3.572382721,3.357746566,3.226336008,3.206309103,3.259079951,3.339543207,3.612123872,3.674403199,3.723746521,3.753011884,3.788431393,3.814828048,3.817098289
Croatia,HRV,-0.633544928,3.987428943,0.469479348,0.661276941,-3.567256714,1.973013467,-1.313471255,1.421644185,-2.600588689,0.563749866,0.270590936,0.293093284,0.292837847,0.403197649,0.312416198,0.287206106,0.363296774,0.295554818,0.180069726,-2.697859165,0.167267677,0.211047415
Cuba,CUB,0.870136804,0.77678559,0.718744163,0.685732432,0.651644053,0.668101459,0.693313471,0.661200493,0.638037816,0.61906293,0.600047985,0.484043819,0.35386211,0.303300025,0.247631872,0.200340306,0.176667259,0.184107837,0.214772875,0.256456755,0.288082953,0.293506626
Curacao,CUW,0.24264149,1.177130948,1.089526091,1.165832182,1.570992544,1.169711914,-1.018209617,-2.905818994,-3.462540835,-3.377070396,-0.005960313,1.931164286,1.592530197,2.416076659,2.432716284,1.837419787,1.118551673,0.510377368,1.121523954,1.276866103,0.69252813,1.005561637
Cyprus,CYP,2.821047011,2.528593563,2.397834458,2.334465811,2.246605922,2.16156898,2.102953456,2.08171576,2.081121546,2.086646865,1.786571471,1.641577976,1.546591886,1.428602869,1.300019154,1.186796463,1.095029276,1.030892747,0.990199187,0.952461255,0.911883536,0.897119722
Czech Republic,CZE,-0.068211052,-0.068128365,-0.136253767,-0.233997707,-0.290683396,-0.283728236,-0.27102019,-0.278762131,-0.458662205,-0.525860173,-0.284981654,-0.122154096,-0.063182999,0.044623474,0.17700669,0.488301512,0.735450035,0.474306872,0.197209094,0.111145922,0.044226014,-0.042078036
Denmark,DNK,0.362491946,0.364949969,0.369501788,0.552739608,0.597701841,0.447306502,0.394925758,0.361443444,0.350679181,0.417063623,0.43684812,0.40096413,0.499468403,0.613841538,0.610096501,0.669712104,0.812104326,0.727990766,0.606766049,0.598214063,0.588807879,0.625526869
Djibouti,DJI,2.70923807,1.979946591,1.715953103,1.768718624,1.879331135,1.89144876,1.882944341,1.819815148,1.723474604,1.642699167,1.597244353,1.550760712,1.501780954,1.45077889,1.404291055,1.365473519,1.343866964,1.341895139,1.364467037,1.389430868,1.412504971,1.426853549
Dominica,DMA,0.316888207,0.45282439,0.370744189,0.127599312,-0.175220422,-0.416567828,-0.520976427,-0.427084325,-0.186737315,0.151613393,0.678339581,0.823121415,0.84214198,0.762767167,0.661888793,0.594499485,0.565908743,0.600126827,0.674992728,0.762664169,0.821908466,0.865561139
Dominican Republic,DOM,2.41764177,2.378435916,3.109225456,3.259592286,3.166748535,3.078340658,3.005496174,2.949014363,2.908385293,2.861921264,2.820750947,3.45259206,3.639433329,3.520632417,3.408824569,3.299464584,3.193937186,3.082542662,2.980233734,2.879739643,2.737967833,2.599088726
Ecuador,ECU,3.235813218,3.177569932,3.116804936,3.047014429,2.981675388,2.913957265,2.840596228,2.760066469,2.674963759,2.585206043,2.215188742,1.973935748,1.964608486,1.975774235,1.993933607,2.007242949,2.005158797,1.985293716,1.954603377,1.921855399,1.905580796,1.888408156
"Egypt, Arab Rep.",EGY,1.80608336,1.685172998,1.609552065,1.570326748,1.531500569,1.752047095,1.895525266,1.897082514,1.914355544,1.941734675,1.970263636,1.977813527,1.956295313,1.919408833,1.868836732,1.741629069,1.704510438,1.795500595,1.921230677,2.062463539,2.215756905,2.307797051
El Salvador,SLV,2.359010865,3.4622209,3.693451647,3.511994065,3.329380076,3.146482896,2.987805261,1.646803205,1.570950351,1.497147127,1.42520865,1.359608439,1.306107021,1.254034217,1.212098591,1.173722961,1.136516399,1.105855727,1.082090988,1.060464619,1.044947682,1.030995694
Equatorial Guinea,GNQ,6.257138441,6.237001765,6.185706363,3.441564238,3.388700096,3.37429288,3.363848208,3.35580552,3.348821893,3.338933431,3.326446092,3.330969552,3.309028565,3.279955479,3.243877539,3.216373793,3.211375609,3.22464634,3.257992399,3.292389232,3.312295291,3.327494371
Eritrea,ERI,0.849442607,0.606440953,0.87060644,1.541400301,2.298057001,2.931334168,3.521840852,3.986430872,4.331281958,4.697482606,4.999703378,5.088607013,4.934146252,4.628859059,4.276379808,4.002310842,3.825331908,3.800801119,3.865915486,3.947750026,,
Estonia,EST,-2.086340062,-2.837130639,-2.403555928,-2.050996123,-1.744615,-1.409400099,-1.232687744,-0.672955149,0.926407709,-0.818771347,-0.815565256,-0.811590354,-0.782094569,-0.756789977,-0.776088125,-0.642967542,-0.455241458,-0.380188579,-0.417258644,-0.493242835,-0.549393,-0.524078589
Ethiopia,ETH,5.502899004,5.487436888,5.374542497,4.779955558,4.44899596,4.306045122,4.217679399,4.168490891,4.16786142,4.152559316,4.150992427,4.120453181,4.083232507,4.037711067,3.99846971,4.057456383,5.083838118,5.033871036,5.004495451,4.962931391,4.930768184,4.875499663
