Country me,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Colombia,COL,69.311,69.82,70.199,70.516,70.832,71.146,71.457,71.767,72.075,72.38,72.683,72.984,73.284,73.581,73.876,74.169,74.46,74.749,75.036,75.321,75.603,75.883
Comoros,COM,28.435,28.39,28.346,28.301,28.257,28.213,28.168,28.124,28.08,28.036,27.992,27.947,27.903,27.873,27.855,27.851,27.86,27.882,27.918,27.966,28.029,28.104
"Congo, Dem. Rep.",COD,31.506,31.946,32.39,32.838,33.289,33.742,34.199,34.659,35.122,35.587,36.055,36.526,37,37.478,37.961,38.448,38.941,39.437,39.937,40.442,40.95,41.461
"Congo, Rep.",COG,55.162,55.58,55.996,56.413,56.832,57.299,57.766,58.231,58.695,59.156,59.617,60.076,60.533,60.988,61.441,61.893,62.341,62.786,63.228,63.666,64.1,64.531
Costa Rica,CRI,51.83,52.741,53.651,54.559,55.465,56.365,57.262,58.154,59.049,60.407,61.751,63.077,64.385,65.669,66.932,68.172,69.387,70.573,71.734,72.866,73.94,74.956
Cote d'Ivoire,CIV,40.088,40.461,40.835,41.21,41.587,41.964,42.342,42.886,43.541,44.195,44.853,45.513,46.175,46.836,47.5,48.266,49.034,49.8,50.557,51.305,52.041,52.766
Croatia,HRV,54.475,54.614,54.753,54.892,55.031,55.17,55.309,55.448,55.587,55.725,55.876,56.04,56.217,56.406,56.608,56.822,57.048,57.287,57.537,57.8,58.074,58.359
Cuba,CUB,73.827,73.977,74.127,74.277,74.426,74.618,74.855,75.089,75.323,75.555,75.785,75.947,76.041,76.134,76.227,76.32,76.413,76.505,76.597,76.689,76.781,76.872
Curacao,CUW,85.444,86.224,86.969,87.68,88.358,89.002,89.615,90.198,90.752,91.011,90.894,90.775,90.655,90.534,90.411,90.287,90.161,90.034,89.905,89.775,89.652,89.537
Cyprus,CYP,67.598,67.792,67.915,68.038,68.161,68.283,68.405,68.527,68.648,68.769,68.694,68.553,68.41,68.268,68.125,67.982,67.839,67.695,67.551,67.406,67.261,67.133
Czech Republic,CZE,75.03,74.901,74.772,74.643,74.513,74.382,74.251,74.12,73.988,73.877,73.809,73.74,73.671,73.602,73.533,73.463,73.394,73.324,73.255,73.185,73.115,73.06
Denmark,DNK,84.898,84.925,84.952,84.979,85.006,85.033,85.06,85.086,85.1,85.15,85.25,85.36,85.566,85.856,86.098,86.293,86.487,86.654,86.795,86.957,87.142,87.324
Djibouti,DJI,76.161,76.207,76.254,76.3,76.347,76.393,76.439,76.485,76.532,76.578,76.624,76.67,76.716,76.761,76.807,76.853,76.899,76.944,76.996,77.053,77.117,77.186
Dominica,DMA,64.569,64.656,64.744,64.831,64.918,65.005,65.092,65.179,65.265,65.382,65.689,65.994,66.299,66.601,66.903,67.203,67.502,67.799,68.094,68.389,68.681,68.97
Dominican Republic,DOM,55.767,56.037,56.751,57.596,58.437,59.272,60.102,60.926,61.746,62.556,63.361,64.596,65.995,67.364,68.705,70.016,71.297,72.541,73.752,74.929,76.039,77.082
Ecuador,ECU,56.226,56.74,57.254,57.766,58.277,58.785,59.291,59.796,60.299,60.799,61.118,61.316,61.514,61.711,61.907,62.104,62.3,62.495,62.69,62.885,63.088,63.298
"Egypt, Arab Rep.",EGY,43.212,43.079,42.946,42.814,42.681,42.658,42.704,42.75,42.797,42.843,42.889,42.935,42.981,43.027,43.073,43.078,43.058,43.039,43.019,43,43.002,43.025
El Salvador,SLV,50.275,51.382,52.677,53.967,55.254,56.53,57.8,58.357,58.912,59.464,60.014,60.561,61.107,61.648,62.187,62.723,63.252,63.773,64.286,64.79,65.287,65.775
Equatorial Guinea,GNQ,36.766,37.792,38.831,38.834,38.829,38.823,38.817,38.811,38.806,38.8,38.794,38.802,38.822,38.856,38.903,38.963,39.037,39.123,39.223,39.337,39.463,39.603
Eritrea,ERI,16.062,16.21,16.367,16.536,16.717,16.908,17.112,17.328,17.555,17.796,18.049,18.315,18.595,18.889,19.196,19.518,19.854,20.206,20.572,20.954,,
Estonia,EST,70.86,70.674,70.487,70.3,70.111,69.923,69.733,69.543,69.368,69.242,69.116,68.989,68.862,68.735,68.607,68.479,68.351,68.223,68.094,67.965,67.835,67.721
Ethiopia,ETH,13.116,13.37,13.627,13.827,14.006,14.186,14.369,14.553,14.74,14.927,15.118,15.31,15.504,15.7,15.899,16.116,16.51,16.91,17.319,17.735,18.16,18.59
Faroe Islands,FRO,30.842,30.87,30.898,30.926,33.035,35.354,35.654,35.86,36.337,37.175,38.022,38.714,39.247,39.781,40.147,40.341,40.536,40.731,40.926,41.122,41.323,41.53
Fiji,FJI,43.156,43.933,44.713,45.496,46.282,46.732,47.123,47.515,47.908,48.3,48.692,49.085,49.479,49.871,50.264,50.657,51.051,51.44,51.828,52.214,52.596,52.976
Finland,FIN,80.128,80.409,80.688,80.963,81.223,81.466,81.707,81.946,82.183,82.368,82.503,82.638,82.772,82.905,83.037,83.168,83.299,83.429,83.558,83.688,83.819,83.952
France,FRA,74.401,74.572,74.743,74.912,75.082,75.25,75.417,75.614,75.871,76.127,76.38,76.632,76.883,77.13,77.377,77.621,77.864,78.106,78.345,78.584,78.82,79.055
French Polynesia,PYF,57.372,57.128,56.883,56.638,56.393,56.29,56.217,56.144,56.071,55.999,55.926,56.029,56.228,56.426,56.625,56.823,56.738,56.608,56.479,56.349,56.218,56.089
Gabon,GAB,71.749,72.999,74.214,75.358,76.431,77.437,78.379,79.26,80.082,80.85,81.565,82.23,82.847,83.421,83.952,84.443,84.896,85.313,85.697,86.047,86.367,86.658
"Gambia, The",GMB,40.52,41.586,42.472,43.362,44.258,45.155,46.057,46.961,47.868,48.775,49.683,50.592,51.479,52.342,53.182,53.997,54.789,55.555,56.297,57.014,57.706,58.373
Georgia,GEO,54.559,54.32,54.08,53.841,53.6,53.36,53.12,52.879,52.638,52.398,52.293,52.352,52.411,52.47,52.525,52.575,52.625,52.723,52.869,53.016,53.162,53.309
Germany,DEU,73.36,73.381,73.343,73.286,73.232,73.17,73.104,73.064,73.067,73.113,73.174,73.233,73.289,73.355,73.494,73.695,73.895,74.093,74.291,74.488,74.688,74.89
Gha,GHA,37.905,38.644,39.39,40.14,40.896,41.654,42.418,43.184,43.929,44.601,45.275,45.951,46.63,47.308,47.988,48.669,49.351,50.031,50.713,51.394,52.069,52.735
Gibraltar,GIB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Greece,GRC,71.757,71.878,71.998,72.119,72.239,72.358,72.478,72.597,72.716,72.913,73.303,73.689,74.073,74.452,74.827,75.199,75.568,75.932,76.292,76.649,77,77.343
Greenland,GRL,80.301,80.503,80.703,80.902,81.1,81.226,81.351,81.476,81.6,81.849,82.095,82.338,82.58,82.858,83.172,83.482,83.787,84.087,84.383,84.755,85.2,85.633
Greda,GRD,33.765,34.025,34.286,34.548,34.811,35.074,35.339,35.604,35.871,36.105,36.058,36.011,35.963,35.916,35.869,35.822,35.775,35.728,35.681,35.634,35.601,35.583
Guam,GUM,91.32,91.571,91.816,92.055,92.287,92.513,92.733,92.946,93.129,93.233,93.334,93.435,93.534,93.631,93.727,93.822,93.916,94.008,94.099,94.187,94.273,94.356
Guatemala,GTM,41.912,42.31,42.71,43.11,43.512,43.914,44.318,44.722,45.127,45.532,45.937,46.344,46.756,47.172,47.593,48.019,48.449,48.884,49.323,49.765,50.212,50.661
Guinea,GIN,28.601,28.89,29.182,29.475,29.77,30.067,30.374,30.69,31.017,31.355,31.702,32.06,32.428,32.807,33.196,33.596,34.005,34.426,34.856,35.297,35.748,36.209
Guinea-Bissau,GNB,30.335,31.091,31.857,32.633,33.42,34.215,35.019,35.832,36.654,37.482,38.318,39.162,40.013,40.867,41.729,42.596,43.468,44.342,45.221,46.081,46.924,47.747
Guya,GUY,29.404,29.315,29.226,29.137,29.048,28.959,28.871,28.782,28.694,28.606,28.518,28.431,28.358,28.301,28.258,28.231,28.218,28.221,28.239,28.271,28.319,28.382
Haiti,HTI,30.8,31.39,31.987,32.59,33.2,33.792,34.389,34.992,35.6,37.251,38.935,40.645,42.381,44.084,45.756,47.39,48.98,50.523,52.016,53.456,54.841,56.168
Honduras,HND,41.448,41.943,42.441,42.941,43.442,43.944,44.447,44.952,45.458,45.964,46.593,47.233,47.875,48.516,49.158,49.8,50.438,51.07,51.696,52.316,52.93,53.537
"Hong Kong SAR, Chi",HKG,99.979,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hungary,HUN,65.587,65.461,65.335,65.209,65.083,64.956,64.829,64.702,64.575,64.67,65.081,65.489,65.896,66.354,66.863,67.368,67.87,68.366,68.859,69.348,69.832,70.306
Iceland,ISL,91.112,91.287,91.46,91.63,91.797,91.96,92.121,92.267,92.401,92.532,92.662,92.789,92.914,93.037,93.159,93.278,93.395,93.511,93.624,93.734,93.84,93.942
India,IND,25.984,26.191,26.399,26.607,26.817,27.028,27.24,27.453,27.667,27.918,28.244,28.572,28.903,29.235,29.569,29.906,30.246,30.587,30.93,31.276,31.631,31.994
Indonesia,IDN,32.703,33.808,34.933,36.076,37.235,38.406,39.593,40.792,42.002,42.782,43.566,44.353,45.145,45.937,46.732,47.528,48.327,49.124,49.924,50.712,51.488,52.252
"Iran, Islamic Rep.",IRN,57.653,58.519,59.38,60.236,61.087,61.853,62.588,63.318,64.042,64.758,65.468,66.172,66.869,67.558,68.239,68.864,69.458,70.045,70.626,71.2,71.769,72.32
Iraq,IRQ,69.337,69.152,68.966,68.78,68.593,68.405,68.388,68.442,68.496,68.55,68.604,68.658,68.712,68.766,68.819,68.873,68.927,68.98,69.034,69.098,69.175,69.262
Ireland,IRL,57.265,57.484,57.702,57.92,58.144,58.395,58.645,58.896,59.146,59.395,59.649,59.925,60.202,60.477,60.752,61.025,61.298,61.569,61.84,62.111,62.386,62.667
Isle of Man,IMN,51.754,51.764,51.773,51.783,51.792,51.8,51.808,51.815,51.823,51.833,51.851,51.869,51.887,51.905,51.922,51.94,51.958,51.976,51.994,52.012,52.042,52.084
Israel,ISR,90.565,90.666,90.767,90.866,90.943,91.009,91.074,91.139,91.203,91.267,91.33,91.393,91.456,91.518,91.58,91.641,91.702,91.763,91.824,91.886,91.949,92.012
Italy,ITA,66.742,66.802,66.862,66.922,66.982,67.042,67.102,67.162,67.222,67.282,67.382,67.501,67.62,67.738,67.856,67.974,68.092,68.209,68.327,68.444,68.56,68.686
Jamaica,JAM,49.896,50.136,50.375,50.615,50.855,51.095,51.335,51.574,51.814,52.053,52.251,52.437,52.625,52.811,52.998,53.184,53.371,53.557,53.743,53.93,54.127,54.336
