Country Name,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Chile,CHL,10.5161022,5.342251042,4.126253056,9.022119617,5.906048678,5.158880045,1.872912458,-2.031942647,3.187714002,2.082902827,0.943525853,2.735949978,4.815949176,4.356395514,3.230352231,3.992026401,2.155408498,-2.118489144,4.603311934,4.693601144,4.322215277,2.867983127
China,CHN,12.82494547,12.566028,11.78156869,9.750279001,8.782184883,8.118548119,6.807806319,6.739270027,7.640001655,7.555801672,8.401915061,9.352364262,9.45917505,10.74255231,12.09183627,13.63634486,9.093872102,8.857029819,10.10310072,9.012854035,7.332030984,7.226936454
Colombia,COL,3.136604993,0.565564932,4.029794342,3.46477573,0.427586899,1.834175992,-0.939119269,-5.611919345,2.908945988,0.226859769,1.065055864,2.489242868,3.922776759,3.348356361,5.358535891,5.602384788,2.331470925,0.499726193,2.835524427,5.467847189,2.990717051,3.852081827
Comoros,COM,5.401105502,0.065690147,-7.942006222,0.744276935,-3.975728375,1.248256873,-1.376060959,-0.696765462,8.057727004,-0.187275747,-0.147504686,-0.333232946,-0.505563951,0.383301525,0.18815766,-1.619718933,-2.015384562,-0.506776048,-0.264694913,0.12417673,0.516609142,1.016650985
"Congo, Dem. Rep.",COD,-13.99301065,-16.83899633,-7.406962978,-2.593379612,-3.852592688,-8.017694905,-3.972354147,-6.603199524,-9.352865921,-4.872606826,-0.127034265,2.304643775,3.372717228,2.777019682,1.980445655,2.871031457,2.832676113,-0.424663716,3.679035798,3.492254751,3.798222705,5.12110766
"Congo, Rep.",COG,-0.03125395,-3.526785338,-7.941658596,1.260314966,1.506843684,-3.313017911,0.94922561,-5.119136478,4.901517911,1.369997644,2.238267082,-1.447070227,1.019700203,4.972142003,3.244285095,-4.524162489,2.346622576,4.258646033,5.668046508,0.663759674,1.166289411,0.89499559
Costa Rica,CRI,6.454162141,4.409788759,1.904223464,1.593789858,-1.177435142,3.099993218,4.558520008,1.746154684,1.706986603,1.642980192,1.603580023,2.669598945,2.814800342,2.384056212,5.720875846,6.665861634,3.231095912,-2.266924936,3.635437852,3.055231558,3.588641182,0.914045706
Cote d'Ivoire,CIV,-3.654176442,-3.54009714,-2.469385273,3.774901668,4.480857484,0.730909306,2.048029718,-0.960039515,-4.322078994,-1.941135793,-3.498890815,-3.085834674,-0.53655884,-0.131037625,-0.426404576,-0.262368412,0.416164479,1.031356242,-0.246515008,-6.57970764,8.091487319,6.271496318
Croatia,HRV,,,,,9.996505817,4.826063132,3.468677964,-2.088424564,6.768454036,3.108259847,5.246474529,5.557907035,4.106258043,4.093491613,4.832321383,5.244820133,2.08770158,-7.270236556,-1.449883527,2.913909043,-1.888001859,-0.787991083
Cuba,CUB,-12.16698675,-15.36522683,0.198388088,1.96292659,7.3532313,2.363985099,-0.220361067,5.821151668,5.570196275,2.86129716,1.128708951,3.510971135,5.527705223,11.0005417,11.92519686,7.178069086,4.059689511,1.384434996,2.291532347,2.662816894,2.841277429,2.506425836
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,6.527834909,-1.70262778,3.732201086,6.5193588,-0.2692888,1.12199773,3.953117531,3.662073532,4.605801516,2.489999696,2.220905652,1.237982201,3.180830497,2.241217562,2.781022803,2.61259233,1.288334269,-4.374273984,-1.29760034,-2.206049098,-4.622161162,-5.733870719
Czech Republic,CZE,-0.608213635,-0.042053102,2.872143518,6.286554631,4.404235371,-0.567177418,-0.221542586,1.541748468,4.587001957,3.439434431,1.843217491,3.631498248,4.915520518,6.295126784,6.58751877,4.91525179,1.862581087,-5.382388221,1.997474779,1.794029518,-0.938553682,-0.516675079
Denmark,DNK,1.63881372,-0.421919019,5.169630942,2.529641018,2.319437876,2.832669401,1.84759464,2.607938313,3.400712376,0.462537361,0.145833559,0.117390861,2.374041321,2.155222553,3.456179567,0.378285419,-1.299574866,-5.59443435,1.174718075,0.736517093,-0.448611857,-0.658798613
